Ignore mate,gnome,e17 and games packages.
İsim: libtommath, sürüm: 0.42.0, yayım: 1
İsim: libtommath-devel, sürüm: 0.42.0, yayım: 1
İsim: libtommath-docs, sürüm: 0.42.0, yayım: 1
İsim: libunibreak, sürüm: 1.1, yayım: 1
İsim: libunibreak-devel, sürüm: 1.1, yayım: 1
İsim: libuninameslist, sürüm: 0.0_20091231, yayım: 1
İsim: libuninameslist-devel, sürüm: 0.0_20091231, yayım: 1
İsim: libupnp, sürüm: 1.6.17, yayım: 1
İsim: libupnp-devel, sürüm: 1.6.17, yayım: 1
İsim: libvmime, sürüm: 0.7.1, yayım: 1
İsim: libvmime-devel, sürüm: 0.7.1, yayım: 1
İsim: libvo-aacenc, sürüm: 1.1.2, yayım: 1
İsim: libvo-aacenc-devel, sürüm: 1.1.2, yayım: 1
İsim: libvo-amrwbenc, sürüm: 1.1.2, yayım: 1
İsim: libvo-amrwbenc-devel, sürüm: 1.1.2, yayım: 1
İsim: libvolpack, sürüm: 1.0_pre7, yayım: 1
İsim: libvolpack-devel, sürüm: 1.0_pre7, yayım: 1
İsim: libvorbis, sürüm: 1.3.3, yayım: 1
İsim: libvorbis-32bit, sürüm: 1.3.3, yayım: 1
İsim: libvorbis-devel, sürüm: 1.3.3, yayım: 1
İsim: libwacom, sürüm: 0.8, yayım: 1
İsim: libwacom-devel, sürüm: 0.8, yayım: 1
İsim: libwbxml, sürüm: 0.11.2, yayım: 1
İsim: libwbxml-devel, sürüm: 0.11.2, yayım: 1
İsim: libwmf, sürüm: 0.2.8.4, yayım: 1
İsim: libwmf-devel, sürüm: 0.2.8.4, yayım: 1
İsim: libwww, sürüm: 5.4.0, yayım: 1
İsim: libwww-devel, sürüm: 5.4.0, yayım: 1
İsim: libx86, sürüm: 1.1, yayım: 1
İsim: libx86-devel, sürüm: 1.1, yayım: 1
İsim: libxklavier, sürüm: 5.3, yayım: 1
İsim: libxklavier-devel, sürüm: 5.3, yayım: 1
İsim: libxklavier-docs, sürüm: 5.3, yayım: 1
İsim: libytnef, sürüm: 1.5, yayım: 1
İsim: libytnef-devel, sürüm: 1.5, yayım: 1
İsim: libzip, sürüm: 0.10.1, yayım: 1
İsim: libzip-devel, sürüm: 0.10.1, yayım: 1
İsim: lightmediascanner, sürüm: 0.4.5.0, yayım: 1
İsim: lightmediascanner-devel, sürüm: 0.4.5.0, yayım: 1
İsim: lilycomp, sürüm: 1.0.2, yayım: 1
İsim: lincity-ng, sürüm: 2.0, yayım: 1
İsim: linux-atm, sürüm: 2.5.1, yayım: 1
İsim: linux-atm-devel, sürüm: 2.5.1, yayım: 1
İsim: lirc, sürüm: 0.9.0, yayım: 1
İsim: lirc-devel, sürüm: 0.9.0, yayım: 1
İsim: lm_sensors, sürüm: 3.3.3, yayım: 1
İsim: lm_sensors-devel, sürüm: 3.3.3, yayım: 1
İsim: lmarbles, sürüm: 1.0.8, yayım: 1
İsim: lockdev, sürüm: 1.0.3, yayım: 1
İsim: lockdev-devel, sürüm: 1.0.3, yayım: 1
İsim: logrotate, sürüm: 3.7.9, yayım: 1
İsim: loki, sürüm: 0.1.7, yayım: 1
İsim: loki-devel, sürüm: 0.1.7, yayım: 1
İsim: loki-docs, sürüm: 0.1.7, yayım: 1
İsim: loosecannon, sürüm: 0.5.0, yayım: 1
İsim: loudmouth, sürüm: 1.4.3, yayım: 1
İsim: loudmouth-devel, sürüm: 1.4.3, yayım: 1
İsim: lpsolve, sürüm: 5.5.2.0, yayım: 1
İsim: lpsolve-devel, sürüm: 5.5.2.0, yayım: 1
İsim: lrzip, sürüm: 0.614, yayım: 1
İsim: lrzip-devel, sürüm: 0.614, yayım: 1
İsim: lsdvd, sürüm: 0.16, yayım: 1
İsim: lshw, sürüm: 02.16, yayım: 1
İsim: lsof, sürüm: 4.84, yayım: 1
İsim: ltrace, sürüm: 0.5.3, yayım: 1
İsim: ltris, sürüm: 1.0.16, yayım: 1
İsim: lua, sürüm: 5.1.4, yayım: 1
İsim: lua-devel, sürüm: 5.1.4, yayım: 1
İsim: lxappearance-obconf, sürüm: 0.2.0, yayım: 1
İsim: lxc, sürüm: 0.7.3, yayım: 1
İsim: lxc-devel, sürüm: 0.7.3, yayım: 1
İsim: lxpolkit, sürüm: 0.4.1, yayım: 1
İsim: lxsplit, sürüm: 0.2.4, yayım: 1
İsim: lynx, sürüm: 2.8.7, yayım: 1
İsim: lzop, sürüm: 1.03, yayım: 1
İsim: metasploit, sürüm: 4.4, yayım: 1
İsim: meterbridge, sürüm: 0.9.2, yayım: 1
İsim: metis, sürüm: 5.0.2, yayım: 1
İsim: metis-devel, sürüm: 5.0.2, yayım: 1
İsim: mfe, sürüm: 0.1.7, yayım: 1
İsim: mftrace, sürüm: 1.2.17, yayım: 1
İsim: mhgui, sürüm: 0.2, yayım: 1
İsim: mhgui-devel, sürüm: 0.2, yayım: 1
İsim: microcode-ctl, sürüm: 1.17, yayım: 1
İsim: min12xxw, sürüm: 0.0.9, yayım: 1
İsim: minecraft, sürüm: 0.0, yayım: 1
İsim: mingetty, sürüm: 1.0.8, yayım: 1
İsim: minicom, sürüm: 2.6.1, yayım: 1
İsim: miniupnpc, sürüm: 1.7, yayım: 1
İsim: miniupnpc-devel, sürüm: 1.7, yayım: 1
İsim: mjpegtools, sürüm: 2.0.1_rc1, yayım: 1
İsim: mjpegtools-devel, sürüm: 2.0.1_rc1, yayım: 1
İsim: mlocate, sürüm: 0.26, yayım: 1
İsim: mobile-broadband-provider-info, sürüm: 20120614, yayım: 1
İsim: mono-addins, sürüm: 0.6.2, yayım: 1
İsim: mono-zeroconf, sürüm: 0.9.0, yayım: 1
İsim: mono-zeroconf-docs, sürüm: 0.9.0, yayım: 1
İsim: monsterz, sürüm: 0.7.1, yayım: 1
İsim: mp3gain, sürüm: 1.5, yayım: 1
İsim: mp3splt-gtk, sürüm: 0.9, yayım: 1
İsim: mpck, sürüm: 0.19, yayım: 1
İsim: mpeg2vidcodec, sürüm: 12, yayım: 1
İsim: mpfi, sürüm: 1.5.1, yayım: 1
İsim: mpfi-devel, sürüm: 1.5.1, yayım: 1
İsim: mpgtx, sürüm: 1.3.1, yayım: 1
İsim: mt-st, sürüm: 1.1, yayım: 1
İsim: multipath-tools, sürüm: 0.4.9, yayım: 1
İsim: musicbrainz, sürüm: 2.1.5, yayım: 1
İsim: musicbrainz-devel, sürüm: 2.1.5, yayım: 1
İsim: musicbrainz3, sürüm: 3.0.2, yayım: 1
İsim: musicbrainz3-devel, sürüm: 3.0.2, yayım: 1
İsim: myrescue, sürüm: 0.9.4, yayım: 1
İsim: mysql-python, sürüm: 1.2.3, yayım: 1
İsim: ntl, sürüm: 5.5.2, yayım: 1
İsim: ntl-devel, sürüm: 5.5.2, yayım: 1
İsim: oblogout, sürüm: 0.2, yayım: 1
İsim: ocaml, sürüm: 4.00.0, yayım: 1
İsim: ogmtools, sürüm: 1.5, yayım: 1
İsim: onig, sürüm: 5.9.2, yayım: 1
İsim: onig-devel, sürüm: 5.9.2, yayım: 1
İsim: openal, sürüm: 1.14, yayım: 1
İsim: openal-32bit, sürüm: 1.14, yayım: 1
İsim: openal-devel, sürüm: 1.14, yayım: 1
İsim: openarena, sürüm: 0.8.8, yayım: 1
İsim: openarena-data, sürüm: 0.8.8, yayım: 1
İsim: openclipart, sürüm: 0.18, yayım: 1
İsim: opencore-amr, sürüm: 0.1.3, yayım: 1
İsim: opencore-amr-devel, sürüm: 0.1.3, yayım: 1
İsim: openexr, sürüm: 1.7.0, yayım: 1
İsim: openexr-devel, sürüm: 1.7.0, yayım: 1
İsim: openexr-docs, sürüm: 1.7.0, yayım: 1
İsim: openexr-libs, sürüm: 1.7.0, yayım: 1
İsim: openjade, sürüm: 1.3.2, yayım: 1
İsim: openshot, sürüm: 1.4.3, yayım: 1
İsim: openslp, sürüm: 1.2.1, yayım: 1
İsim: openslp-devel, sürüm: 1.2.1, yayım: 1
İsim: openslp-server, sürüm: 1.2.1, yayım: 1
İsim: opensp, sürüm: 1.5.2, yayım: 1
İsim: opensp-devel, sürüm: 1.5.2, yayım: 1
İsim: openttd-openmsx, sürüm: 0.3.1, yayım: 1
İsim: openttd-opensfx, sürüm: 0.2.3, yayım: 1
İsim: oprofile, sürüm: 0.9.8, yayım: 1
İsim: ots, sürüm: 0.5.0, yayım: 1
İsim: p7zip, sürüm: 9.20.1, yayım: 1
İsim: palp, sürüm: 2.1, yayım: 1
İsim: pam_fprint, sürüm: 0.2, yayım: 1
İsim: pam_p11, sürüm: 0.1.5, yayım: 1
İsim: pam_skey, sürüm: 1.1.5, yayım: 1
İsim: panda-kde, sürüm: 0.4, yayım: 1
İsim: par2cmdline, sürüm: 0.4, yayım: 1
İsim: pari, sürüm: 2.5.3, yayım: 1
İsim: pari-emacs, sürüm: 2.5.3, yayım: 1
İsim: parted, sürüm: 3.1, yayım: 1
İsim: parted-devel, sürüm: 3.1, yayım: 1
İsim: partitionmanager, sürüm: 1.0.60, yayım: 1
İsim: patchutils, sürüm: 0.3.1, yayım: 1
İsim: pathological, sürüm: 1.1.3, yayım: 1
İsim: pax-utils, sürüm: 0.2.1, yayım: 1
İsim: pbzip2, sürüm: 1.1.6, yayım: 1
İsim: pcre++, sürüm: 0.9.5, yayım: 1
İsim: pcre++-devel, sürüm: 0.9.5, yayım: 1
İsim: pcsc-lite, sürüm: 1.8.6, yayım: 1
