Ignore mate,gnome,e17 and games packages.
İsim: t1lib, sürüm: 5.1.2, yayım: 1
İsim: t1lib-devel, sürüm: 5.1.2, yayım: 1
İsim: t1utils, sürüm: 1.34, yayım: 1
İsim: taglib-extras, sürüm: 1.0.1, yayım: 1
İsim: taglib-extras-devel, sürüm: 1.0.1, yayım: 1
İsim: taglib-sharp, sürüm: 2.0.3.7, yayım: 1
İsim: tap-plugins, sürüm: 0.7.2, yayım: 1
İsim: tcp-wrappers, sürüm: 7.6, yayım: 1
İsim: tcp-wrappers-devel, sürüm: 7.6, yayım: 1
İsim: tecnoballz, sürüm: 0.92, yayım: 1
İsim: teeworlds, sürüm: 0.6.1, yayım: 1
İsim: telepathy-butterfly, sürüm: 0.5.15, yayım: 1
İsim: telepathy-idle, sürüm: 0.1.12, yayım: 1
İsim: telepathy-sofiasip, sürüm: 0.7.1, yayım: 1
İsim: telepathy-sofiasip-devel, sürüm: 0.7.1, yayım: 1
İsim: telepathy-sunshine, sürüm: 2.0, yayım: 1
İsim: telnet-bsd, sürüm: 1.2, yayım: 1
İsim: tepsonic, sürüm: 20012012, yayım: 1
İsim: texmaker, sürüm: 3.2.1, yayım: 1
İsim: tidy, sürüm: 20101110, yayım: 1
İsim: tidy-devel, sürüm: 20101110, yayım: 1
İsim: tig, sürüm: 0.17, yayım: 1
İsim: timezone, sürüm: 0.0_20120927, yayım: 1
İsim: timidity, sürüm: 2.14.0, yayım: 1
İsim: timidity-eawpatches, sürüm: 0.12, yayım: 1
İsim: timidity-shompatches, sürüm: 0.409, yayım: 1
İsim: tinyxml, sürüm: 2.6.1, yayım: 1
İsim: tinyxml-devel, sürüm: 2.6.1, yayım: 1
İsim: tls, sürüm: 1.6, yayım: 1
İsim: tls-devel, sürüm: 1.6, yayım: 1
İsim: tmpwatch, sürüm: 2.10.1, yayım: 1
İsim: tn5250, sürüm: 0.17.4, yayım: 1
İsim: tn5250-devel, sürüm: 0.17.4, yayım: 1
İsim: togl, sürüm: 2.0, yayım: 1
İsim: togl-devel, sürüm: 2.0, yayım: 1
İsim: tolua++, sürüm: 1.0.93, yayım: 1
İsim: tolua++-devel, sürüm: 1.0.93, yayım: 1
İsim: tomcat-servlet-api, sürüm: 5.5.36, yayım: 1
İsim: tor, sürüm: 0.2.3.25, yayım: 1
İsim: torrentinfo, sürüm: 1.0.2, yayım: 1
İsim: torsocks, sürüm: 1.2, yayım: 1
İsim: tosla, sürüm: 0.1.6, yayım: 1
İsim: touchfreeze, sürüm: 0.2.5, yayım: 1
İsim: traceroute, sürüm: 2.0.18, yayım: 1
İsim: trackballs-music, sürüm: 1.4, yayım: 1
İsim: transfig, sürüm: 3.2.5d, yayım: 1
İsim: translate-toolkit, sürüm: 1.9.0, yayım: 1
İsim: translate-toolkit-docs, sürüm: 1.9.0, yayım: 1
İsim: tree, sürüm: 1.6.0, yayım: 1
İsim: tremulous, sürüm: 1.2.0_beta1, yayım: 1
İsim: tremulous-data, sürüm: 1.2.0_beta1, yayım: 1
İsim: trigger, sürüm: 0.6.0, yayım: 1
İsim: trousers, sürüm: 0.3.9, yayım: 1
İsim: trousers-devel, sürüm: 0.3.9, yayım: 1
İsim: ttf2pt1, sürüm: 3.4.4, yayım: 1
İsim: tunctl, sürüm: 1.5, yayım: 1
İsim: tuxpaint-stamps, sürüm: 20090628, yayım: 1
İsim: tv-viewer, sürüm: 0.8.2, yayım: 1
İsim: tvtime, sürüm: 1.0.2, yayım: 1
İsim: txt2man, sürüm: 1.5.6, yayım: 1
İsim: ucpp, sürüm: 1.3.4, yayım: 1
İsim: ucpp-devel, sürüm: 1.3.4, yayım: 1
İsim: udftools, sürüm: 1.0.0_beta3, yayım: 1
İsim: uget, sürüm: 1.10.3, yayım: 1
İsim: umplayer, sürüm: 0.6.8, yayım: 1
İsim: unalz, sürüm: 0.65, yayım: 1
İsim: unarj, sürüm: 2.65, yayım: 1
İsim: uniconvertor, sürüm: 1.1.5, yayım: 1
İsim: unionfs-utils, sürüm: 0.2.1, yayım: 1
İsim: unionfs-utils-devel, sürüm: 0.2.1, yayım: 1
İsim: unixODBC, sürüm: 2.3.1, yayım: 1
İsim: unixODBC-devel, sürüm: 2.3.1, yayım: 1
İsim: unixODBC-docs, sürüm: 2.3.1, yayım: 1
İsim: unpaper, sürüm: 0.3, yayım: 1
İsim: unpaper-docs, sürüm: 0.3, yayım: 1
İsim: unshield, sürüm: 0.6, yayım: 1
İsim: unshield-devel, sürüm: 0.6, yayım: 1
İsim: uqm, sürüm: 0.6.2, yayım: 1
İsim: uqm-content, sürüm: 0.7.0, yayım: 1
İsim: uqm-voice, sürüm: 0.7.0, yayım: 1
İsim: uqm_3domusic, sürüm: 0.7.0, yayım: 1
İsim: urbanterrorHD, sürüm: 4.2.012, yayım: 1
İsim: urlview, sürüm: 0.9, yayım: 1
İsim: usbmuxd, sürüm: 1.0.8, yayım: 1
İsim: usbmuxd-devel, sürüm: 1.0.8, yayım: 1
İsim: utempter, sürüm: 0.5.5, yayım: 1
İsim: utempter-devel, sürüm: 0.5.5, yayım: 1
İsim: vbam, sürüm: 1.8.0, yayım: 1
İsim: vbetool, sürüm: 1.1, yayım: 1
İsim: virt-wrapper, sürüm: 0.1.1, yayım: 1
İsim: vixie-cron, sürüm: 4.1, yayım: 1
İsim: volumeicon, sürüm: 0.5.0, yayım: 1
İsim: xdelta3, sürüm: 3.0z, yayım: 1 (build problems)
İsim: xdvik, sürüm: 22.84.16, yayım: 1 (build problems)
İsim: xhfs, sürüm: 3.2.6, yayım: 1 (cannot find it github) comment groni:(look here https://github.com/pisilinux/PisiLinux/blob/c57ff2785bda2c4eb1c8d67b0dba813e6f6a8efb/hardware/disk/hfsutils/pspec.xml and follow the package name)
İsim: xjadeo, sürüm: 0.7.6, yayım: 1 (no rebuild needed, just added)
